process,ts_start,ts_end,algorithm,data_type,num_of_rows,num_of_dimensions,query_info,run_time,mem_usage
precomputing,2019-06-09__23:53:00,2019-06-09__23:54:13,kmmpti-no-rsl,ac,1000,10,-,0:01:12.881029,69.296128
precomputing,2019-06-09__23:55:09,2019-06-09__23:55:20,kmppti-no-thread,ac,500,3,-,0:00:10.837423,68.1984
precomputing,2019-06-09__23:56:55,2019-06-10__00:54:07,kmppti-no-thread,ac,5000,3,-,0:57:12.724983,252.915712
precomputing,2019-06-10__00:56:12,2019-06-10__00:56:33,kmppti-thread,ac,500,3,-,0:00:21.215420,151.404544
precomputing,2019-06-10__00:56:51,2019-06-10__00:56:54,kmmpti-no-rsl,ac,500,3,-,0:00:03.215948,148.43904
precomputing,2019-06-10__00:57:22,2019-06-10__02:11:06,kmppti-thread,ac,5000,3,-,1:13:43.663986,276.566016
precomputing,2019-06-10__03:13:17,2019-06-10__03:25:04,kmmpti-no-rsl,ac,5000,3,-,0:11:46.944078,138.657792
precomputing,2019-06-10__03:30:07,2019-06-10__03:30:07,kmppti-no-thread,ac,50,3,-,0:00:00.114625,125.059072
precomputing,2019-06-10__03:30:22,2019-06-10__03:30:23,kmppti-thread,ac,50,3,-,0:00:00.288916,117.886976
precomputing,2019-06-10__03:30:34,2019-06-10__03:30:34,kmmpti-no-rsl,ac,50,3,-,0:00:00.071116,115.339264
precomputing,2019-06-10__03:31:01,2019-06-10__03:31:02,kmppti-no-thread,ac,100,3,-,0:00:00.339658,114.671616
precomputing,2019-06-10__03:31:15,2019-06-10__03:31:16,kmppti-thread,ac,100,3,-,0:00:00.903337,113.123328
precomputing,2019-06-10__03:31:32,2019-06-10__03:31:32,kmmpti-no-rsl,ac,100,3,-,0:00:00.171344,112.86528
precomputing,2019-06-10__03:36:08,2019-06-10__03:36:08,kmppti-no-thread,ac,100,3,-,0:00:00.365027,112.70144
precomputing,2019-06-10__03:46:51,2019-06-10__03:46:51,kmppti-no-thread,ac,100,3,-,0:00:00.334596,36.999168
precomputing,2019-06-10__03:47:38,2019-06-10__03:47:39,kmppti-thread,ac,100,3,-,0:00:00.911954,37.470208
precomputing,2019-06-10__03:48:09,2019-06-10__03:48:09,kmmpti-no-rsl,ac,100,3,-,0:00:00.165171,34.861056
precomputing,2019-06-10__03:48:34,2019-06-10__03:48:34,kmppti-no-thread,ac,50,3,-,0:00:00.091767,34.865152
precomputing,2019-06-10__03:48:56,2019-06-10__03:48:56,kmppti-thread,ac,50,3,-,0:00:00.221129,34.881536
precomputing,2019-06-10__03:49:17,2019-06-10__03:49:17,kmmpti-no-rsl,ac,50,3,-,0:00:00.065187,34.869248
precomputing,2019-06-10__03:51:10,2019-06-10__03:51:10,kmppti-no-thread,i,50,3,-,0:00:00.121257,34.906112
precomputing,2019-06-10__03:51:49,2019-06-10__03:51:50,kmppti-thread,i,50,3,-,0:00:00.255667,34.885632
precomputing,2019-06-10__03:52:20,2019-06-10__03:52:20,kmmpti-no-rsl,i,50,3,-,0:00:00.069424,34.97984
precomputing,2019-06-10__03:52:41,2019-06-10__03:52:42,kmppti-no-thread,i,100,3,-,0:00:00.486753,35.250176
precomputing,2019-06-10__03:53:00,2019-06-10__03:53:01,kmmpti-no-rsl,i,100,3,-,0:00:00.248428,35.250176
precomputing,2019-06-10__03:53:27,2019-06-10__03:53:28,kmppti-thread,i,100,3,-,0:00:01.068634,35.278848
precomputing,2019-06-10__03:55:23,2019-06-10__04:15:06,kmmpti-no-rsl,i,5000,3,-,0:19:42.750992,184.045568
precomputing,2019-06-10__15:48:50,2019-06-10__15:49:02,kmppti-no-thread,ac,500,3,-,0:00:11.459450,42.119168
precomputing,2019-06-10__15:49:40,2019-06-10__15:50:02,kmppti-thread,ac,500,3,-,0:00:22.129870,41.504768
precomputing,2019-06-10__15:50:29,2019-06-10__15:50:33,kmmpti-no-rsl,ac,500,3,-,0:00:04.236536,41.459712
precomputing,2019-06-10__16:27:34,2019-06-10__16:33:13,kmppti-no-thread,ac,2000,3,-,0:05:38.730828,84.738048
